,pdbid,-logKd/Ki,resolution
16583,5ne1,8.28,2.09
16584,5qqp,8.28,2.08
16585,5tkk,8.28,1.55
16586,5v2q,8.28,1.7
16587,6a84,8.28,1.98
16588,6mqc,8.28,1.99
16589,6nvj,8.28,2.3
16590,6o8u,8.28,1.8
16591,1a28,8.29,1.8
16592,2a4w,8.29,1.5
16593,4bj8,8.29,2.4
16594,4wn1,8.29,3.13
16595,5j8i,8.29,2.4
16596,5uey,8.29,2.41
16597,5v2p,8.29,2
16598,6ayo,8.29,1.67
16599,6o95,8.29,1.77
16600,1b6l,8.3,1.75
16601,1bzf,8.3,NMR
16602,1dtt,8.3,3
16603,1hv5,8.3,2.6
16604,1lqf,8.3,2.5
16605,1okz,8.3,2.51
16606,1q6t,8.3,2.3
16607,1qbq,8.3,2.4
16608,1rej,8.3,2.2
16609,1rww,8.3,2.8
16610,1s17,8.3,1.95
16611,1sve,8.3,2.49
16612,1tft,8.3,NMR
16613,1tom,8.3,1.8
16614,1u3r,8.3,2.21
16615,1uv5,8.3,2.8
16616,1yt9,8.3,3
16617,1zzl,8.3,2
16618,2aeb,8.3,1.29
16619,2cen,8.3,1.7
16620,2gv2,8.3,1.8
16621,2hrp,8.3,2.2
16622,2imd,8.3,1.6
16623,2iqg,8.3,1.7
16624,2nv7,8.3,2.1
16625,2pe1,8.3,2.14
16626,2pll,8.3,1.9
16627,2pvk,8.3,1.9
16628,2qmd,8.3,1.65
16629,2rd6,8.3,2.3
16630,2rfn,8.3,2.5
16631,2rku,8.3,1.95
16632,2v7a,8.3,2.5
16633,2v95,8.3,1.93
16634,2x81,8.3,2.91
16635,2ydj,8.3,1.85
16636,2yoj,8.3,1.76
16637,3atu,8.3,1.65
16638,3bc5,8.3,2.27
16639,3bjm,8.3,2.35
16640,3cid,8.3,1.8
16641,3d20,8.3,1.05
16642,3fqe,8.3,2.5
16643,3fyj,8.3,3.8
16644,3g0d,8.3,2.39
16645,3g0g,8.3,2.45
16646,3g86,8.3,2.2
16647,3gjw,8.3,2.3
16648,3gn7,8.3,2.5
16649,3h5s,8.3,2
16650,3h98,8.3,1.9
16651,3hku,8.3,1.8
16652,3hvi,8.3,1.2
16653,3jy0,8.3,2.4
16654,3lxl,8.3,1.74
16655,3ly2,8.3,2.6
16656,3ocb,8.3,2.7
16657,3-Oct,8.3,1.95
16658,3ot3,8.3,1.44
16659,3rvg,8.3,2.5
16660,3skf,8.3,3
16661,3tyq,8.3,1.6
16662,3zps,8.3,1.55
16663,4afg,8.3,2
16664,4az3,8.3,2.04
16665,4bea,8.3,2.57
16666,4cwr,8.3,2
16667,4dus,8.3,2.5
16668,4ejn,8.3,2.19
16669,4elb,8.3,2.6
16670,4emv,8.3,1.7
16671,4fob,8.3,1.9
16672,4gfn,8.3,1.9
16673,4gtq,8.3,2.6
16674,4gtr,8.3,2.2
16675,4hgs,8.3,2.4
16676,4i6f,8.3,2.9
16677,4i6h,8.3,1.91
16678,4jps,8.3,2.2
16679,4jzd,8.3,2.2
16680,4kcg,8.3,2.09
16681,4l4l,8.3,2.12
16682,4lwu,8.3,1.14
16683,4n1u,8.3,1.6
16684,4nus,8.3,2.39
16685,4o0b,8.3,1.93
16686,4o5b,8.3,2.37
16687,4ohk,8.3,2.8
16688,4olh,8.3,2.4
16689,4qo4,8.3,1.7
16690,4rx7,8.3,1.8
16691,4wki,8.3,1.6
16692,4x6p,8.3,1.93
16693,4xhk,8.3,1.9
16694,4ynk,8.3,2.3
16695,4ztr,8.3,2.85
16696,4zy6,8.3,2.15
16697,5a0b,8.3,2.23
16698,5am3,8.3,2.2
16699,5buj,8.3,1.85
16700,5bvo,8.3,1.98
16701,5cxh,8.3,1.9
16702,5.00E+80,8.3,2.6
16703,5he7,8.3,1.71
16704,5j7b,8.3,2.53
16705,5j8z,8.3,1.7
16706,5jfr,8.3,1.6
16707,5k76,8.3,2.74
16708,5kcv,8.3,2.7
16709,5kdr,8.3,2.6
16710,5khm,8.3,1.48
16711,5kpk,8.3,2.4
16712,5t2b,8.3,2.3
16713,5tiu,8.3,1.49
16714,5tqf,8.3,1.85
16715,5uac,8.3,3.8
16716,5uox,8.3,2.5
16717,5uy8,8.3,2.39
16718,5v3h,8.3,2.69
16719,5w5k,8.3,2.7
16720,5x26,8.3,2.95
16721,5x5o,8.3,1.87
16722,5xs2,8.3,2.04
16723,5yea,8.3,1.81
16724,5z1d,8.3,2.28
16725,5z1e,8.3,2.3
16726,5ztn,8.3,2.5
16727,6aaj,8.3,2.37
16728,6b4w,8.3,2.9
16729,6b8j,8.3,2.6
16730,6bfd,8.3,1.62
16731,6bkw,8.3,1.5
16732,6c4g,8.3,2.39
16733,6c6o,8.3,2.3
16734,6cmj,8.3,2.4
16735,6cn6,8.3,2.45
16736,6en4,8.3,3.08
16737,6f23,8.3,1.84
16738,6hcv,8.3,2.2
16739,6jt3,8.3,2.4
16740,6ma3,8.3,2
16741,6q7a,8.3,2.2
16742,6rna,8.3,2.62
16743,1rgj,8.31,NMR
16744,2hs2,8.31,1.22
16745,3dc3,8.31,1.7
16746,4acd,8.31,2.6
16747,4csj,8.31,2.3
16748,4ddl,8.31,2.07
16749,5dyw,8.31,2.5
16750,5nxo,8.31,1.2
16751,5oah,8.31,1.8
16752,5tnt,8.31,1.4
16753,6das,8.31,1.8
16754,6qav,8.31,2.05
16755,2dq7,8.32,2.8
16756,2fdd,8.32,1.58
16757,2gj5,8.32,2.4
16758,2qtb,8.32,2.25
16759,2xhr,8.32,2.2
16760,2yi7,8.32,1.4
16761,3qak,8.32,2.71
16762,3tv6,8.32,3.3
16763,4bbg,8.32,2.75
16764,4gih,8.32,2
16765,4jwk,8.32,1.87
16766,4kin,8.32,1.97
16767,4pee,8.32,1.95
16768,4z16,8.32,2.9
16769,5a3u,8.32,3.3
16770,5c2a,8.32,2
16771,5czm,8.32,1.3
16772,5eef,8.32,2.15
16773,5ehe,8.32,1.5
16774,6aam,8.32,1.98
16775,6enm,8.32,1.59
16776,6oe3,8.32,2.9
16777,1hwr,8.33,1.8
16778,1u9q,8.33,2.3
16779,2wj2,8.33,2.55
16780,3ns7,8.33,2.6
16781,3sdi,8.33,2.65
16782,3sw2,8.33,2.42
16783,4eev,8.33,1.8
16784,4htx,8.33,1.9
16785,4i33,8.33,1.9
16786,4z1k,8.33,1.35
16787,5fky,8.33,1.8
16788,6b5o,8.33,2.19
16789,6gcr,8.33,2.3
16790,1bzy,8.34,2
16791,1uwb,8.34,3.2
16792,2qci,8.34,1.2
16793,2wxl,8.34,1.99
16794,2xye,8.34,2
16795,3ay9,8.34,1.75
16796,3f82,8.34,2.5
16797,3lj7,8.34,2.3
16798,3npc,8.34,2.35
16799,4yhf,8.34,2.2
16800,5es1,8.34,2.8
16801,5ime,8.34,2.22
16802,5uit,8.34,1.84
16803,5y24,8.34,1.92
16804,5ywg,8.34,2.6
16805,6g39,8.34,1.45
16806,6jsg,8.34,2.3
16807,6mo4,8.34,1.84
16808,1h23,8.35,2.15
16809,1mj7,8.35,2.25
16810,2uwd,8.35,1.9
16811,2zxa,8.35,2.57
16812,3bgl,8.35,2.23
16813,3m6p,8.35,2
16814,3nu5,8.35,1.29
16815,4bf6,8.35,1.82
16816,4mvh,8.35,2.5
16817,4yml,8.35,1.75
16818,5amn,8.35,2.57
16819,5edl,8.35,1.95
16820,5mi9,8.35,3.3
16821,6bke,8.35,1.95
16822,6cqf,8.35,2.25
16823,6dtx,8.35,3.33
16824,9hvp,8.35,2.8
16825,1bb0,8.36,2.1
16826,1d4j,8.36,1.81
16827,3d83,8.36,1.9
16828,3g45,8.36,2.63
16829,3kek,8.36,1.97
16830,3oj8,8.36,1.9
16831,3r7o,8.36,2.3
16832,3wiz,8.36,2.45
16833,4e6q,8.36,1.95
16834,4g3f,8.36,1.64
16835,4gzf,8.36,2.05
16836,4k19,8.36,2.74
16837,4lts,8.36,1.69
16838,4y2b,8.36,2.2
16839,5dls,8.36,2.15
16840,5k0x,8.36,2.23
16841,1ouy,8.37,2.5
16842,2fjp,8.37,2.4
16843,2nmy,8.37,1.1
16844,2nmz,8.37,0.97
16845,2nnk,8.37,1.25
16846,2nnp,8.37,1.2
16847,2xdw,8.37,1.35
16848,3h0z,8.37,2.92
16849,3q6k,8.37,2.52
16850,3t1a,8.37,2.4
16851,3tcp,8.37,2.69
16852,3wyx,8.37,2.9
16853,4bao,8.37,1.87
16854,4v24,8.37,1.8
16855,4ye3,8.37,1.35
16856,5efb,8.37,2.54
16857,5hk1,8.37,2.51
16858,5m6u,8.37,2.85
16859,5zk5,8.37,2.25
16860,6byz,8.37,2.96
16861,6c0n,8.37,2
16862,6g9d,8.37,1.8
16863,6n7a,8.37,1.33
16864,1k21,8.38,1.86
16865,1mu6,8.38,1.99
16866,3hab,8.38,2.1
16867,3qkd,8.38,2.02
16868,3zpu,8.38,1.8
16869,4a6b,8.38,1.8
16870,4ere,8.38,1.8
16871,4g3e,8.38,2.5
16872,4xv1,8.38,2.47
16873,5d21,8.38,1.9
16874,5tq4,8.38,2.3
16875,6g3a,8.38,1.43
16876,6g97,8.38,1.9
16877,6hzx,8.38,2.91
16878,1it6,8.39,2
16879,1lzq,8.39,2.2
16880,1x7b,8.39,2.3
16881,3dpk,8.39,1.95
16882,4p1r,8.39,2.24
16883,4qyg,8.39,1.75
16884,4u3f,8.39,3.23
16885,5hcx,8.39,2.6
16886,5qtu,8.39,2.53
16887,6ayr,8.39,1.95
16888,6g9j,8.39,1.98
16889,1a4g,8.4,2.2
16890,1aaq,8.4,2.5
16891,1b6m,8.4,1.85
16892,1fd0,8.4,1.38
16893,1fq5,8.4,2.4
16894,1fzk,8.4,1.7
16895,1jil,8.4,2.2
16896,1k22,8.4,1.93
16897,1mtr,8.4,1.75
16898,1nd5,8.4,2.9
16899,1o47,8.4,1.8
16900,1q3w,8.4,2.3
16901,1s64,8.4,2.55
16902,1w4l,8.4,2.16
16903,1w5x,8.4,1.9
16904,1w7x,8.4,1.8
16905,1z1h,8.4,1.85
16906,1zpa,8.4,2.02
16907,2al5,8.4,1.65
16908,2baj,8.4,2.25
16909,2j95,8.4,2.01
16910,2oic,8.4,2.4
16911,2oqv,8.4,2.8
16912,2ovy,8.4,1.8
16913,2pe2,8.4,2.13
16914,2qbp,8.4,2.5
16915,2rl5,8.4,2.65
16916,2uwl,8.4,1.9
16917,2vsl,8.4,2.1
16918,2xyn,8.4,2.81
16919,2y82,8.4,2.2
16920,2zda,8.4,1.73
16921,3b68,8.4,1.9
16922,3bl7,8.4,2.31
16923,3coh,8.4,2.7
16924,3d0e,8.4,2
16925,3efw,8.4,2.29
16926,3ekn,8.4,2.2
16927,3el9,8.4,1.6
16928,3eos,8.4,1.78
16929,3frg,8.4,1.7
16930,3gz9,8.4,2
16931,3k9x,8.4,1.9
16932,3kwz,8.4,1.49
16933,3nrm,8.4,3.05
16934,3ook,8.4,2.29
16935,3qrj,8.4,1.82
16936,3qxv,8.4,2.5
16937,3r2b,8.4,2.9
16938,3s4q,8.4,2.27
16939,3s74,8.4,1.4
16940,3str,8.4,1.75
16941,3sww,8.4,2
16942,3ttz,8.4,1.63
16943,3u4w,8.4,1.9
16944,3vap,8.4,2.66
16945,3zxz,8.4,1.8
16946,4aoi,8.4,1.9
16947,4at3,8.4,1.77
16948,4b8o,8.4,2.08
16949,4bck,8.4,2.05
16950,4bgh,8.4,1.95
16951,4c61,8.4,2.45
16952,4cnh,8.4,1.9
16953,4dk5,8.4,2.95
16954,4fzc,8.4,2.8
16955,4jai,8.4,3.2
16956,4jsr,8.4,1.7
16957,4l52,8.4,2.54
16958,4lxk,8.4,2.05
16959,4mqu,8.4,2.22
16960,4nh7,8.4,2
16961,4nw6,8.4,1.74
16962,4px6,8.4,1.6
16963,4qmy,8.4,1.88
16964,4ra5,8.4,2.61
16965,4rcf,8.4,1.78
16966,4ual,8.4,1.71
16967,4uro,8.4,2.59
16968,4uyn,8.4,1.9
16969,4x7k,8.4,1.8
16970,4z3v,8.4,1.6
16971,5a3t,8.4,1.9
16972,5bmm,8.4,2.5
16973,5ccm,8.4,2.3
16974,5cs2,8.4,1.65
16975,5csw,8.4,2.66
16976,5d9k,8.4,2.55
16977,5dxu,8.4,2.64
16978,5.00E+91,8.4,2.42
16979,5em6,8.4,2.78
16980,5fa7,8.4,1.67
16981,5g57,8.4,1.73
16982,5hd0,8.4,1.65
16983,5hg7,8.4,1.85
16984,5jrs,8.4,1.97
16985,5laz,8.4,1.66
16986,5ll4,8.4,1.12
16987,5ody,8.4,1.15
16988,5org,8.4,1.99
16989,5ufi,8.4,2.58
16990,5x28,8.4,2.95
16991,6agt,8.4,1.95
16992,6f3d,8.4,2.38
16993,6g2s,8.4,2.2
16994,6g9h,8.4,1.73
16995,6gue,8.4,1.99
16996,6n9p,8.4,2.23
16997,6oyw,8.4,2.6
16998,6rfj,8.4,2.61
16999,6sdd,8.4,1.93
17000,1e4h,8.41,1.8
17001,1g48,8.41,1.86
17002,1i9p,8.41,1.92
17003,1i9q,8.41,1.8
17004,1w96,8.41,1.8
17005,2am9,8.41,1.64
17006,2w6c,8.41,2.69
17007,3mvm,8.41,2
17008,3oxc,8.41,1.16
17009,4agd,8.41,2.81
17010,4ngt,8.41,2.31
17011,5ak2,8.41,2.19
17012,6aah,8.41,1.83
17013,6cvy,8.41,1.8
17014,6mum,8.41,3.06
17015,6mzq,8.41,2
17016,6mzw,8.41,2.2
17017,6q9l,8.41,1.13
17018,1bwb,8.42,1.8
17019,1htg,8.42,2
17020,1i9o,8.42,1.86
17021,2g5p,8.42,2.4
17022,2isc,8.42,2.7
17023,4ezj,8.42,2.67
17024,4hbp,8.42,2.91
17025,4ksy,8.42,1.88
17026,4wa9,8.42,2.2
17027,5c4s,8.42,2.23
17028,5icp,8.42,2.18
17029,5vl2,8.42,1.9
17030,6jsn,8.42,2.6
17031,1jje,8.43,1.8
17032,2c8w,8.43,1.96
17033,2xbv,8.43,1.66
17034,2za5,8.43,2.3
17035,3nhi,8.43,1.43
17036,3qlb,8.43,3.26
17037,3tam,8.43,2.51
17038,3u7s,8.43,2.05
17039,4cqe,8.43,2.3
17040,4g3g,8.43,2.5
17041,4y8x,8.43,1.9
17042,4zk5,8.43,2.89
17043,5dey,8.43,2.1
17044,5exl,8.43,2.3
17045,5f2u,8.43,1.85
17046,5t66,8.43,1.95
17047,6ps5,8.43,2.9
17048,1bmn,8.44,2.8
17049,1ynd,8.44,1.6
17050,2rf2,8.44,2.4
17051,2vc9,8.44,2.36
17052,2xyf,8.44,1.8
17053,3uhm,8.44,1.26
17054,3w1f,8.44,2.7
17055,4bbe,8.44,1.9
17056,4k1e,8.44,1.3
17057,4zae,8.44,1.86
17058,5kqx,8.44,2.4
17059,5n0e,8.44,1.75
17060,5v8q,8.44,1.44
17061,5voj,8.44,1.8
17062,6b31,8.44,3.18
17063,1jq9,8.45,1.8
17064,6gbw,8.45,1.45
17065,1a3e,8.46,1.85
17066,1bgo,8.46,2.3
17067,1iht,8.46,2.1
17068,1ld8,8.46,1.8
17069,1u3q,8.46,2.4
17070,1u9w,8.46,2.3
17071,2mip,8.46,2.2
17072,2oh4,8.46,2.05
17073,3bx5,8.46,2.4
17074,3kdd,8.46,1.8
17075,3kl6,8.46,1.45
17076,3nam,8.46,3.1
17077,3q2g,8.46,2.3
17078,4css,8.46,1.07
17079,4he9,8.46,1.06
17080,4lge,8.46,1.55
17081,4u01,8.46,2.8
17082,5a09,8.46,1.81
17083,5b4w,8.46,2.6
17084,5nxv,8.46,1.1
17085,6h7n,8.46,2.5
17086,6o21,8.46,1.15
17087,1qkn,8.47,2.25
17088,2ds1,8.47,2
17089,2oag,8.47,2.3
17090,2qo8,8.47,1.4
17091,2wei,8.47,1.65
17092,3b28,8.47,1.35
17093,3bhb,8.47,2.2
17094,3zln,8.47,2.29
17095,5f94,8.47,2.51
17096,5ohi,8.47,1.66
17097,5qtt,8.47,2.23
17098,5v6y,8.47,2.8
17099,6a06,8.47,1.79
17100,6d3q,8.47,2.24
17101,6o4w,8.47,2.35
17102,6q9o,8.47,1.21
17103,1i9l,8.48,1.93
17104,1i9m,8.48,1.84
17105,1w5y,8.48,1.9
17106,2hs1,8.48,0.84
17107,2p3b,8.48,2.1
17108,2r5p,8.48,2.3
17109,2uxz,8.48,1.75
17110,2yix,8.48,2.3
17111,3b1m,8.48,1.6
17112,3eqs,8.48,1.65
17113,3n3j,8.48,1.5
17114,3wqh,8.48,2.85
17115,4jpa,8.48,2
17116,4nvq,8.48,2.03
17117,4o0v,8.48,2.8
17118,5ap2,8.48,2.8
17119,5jh6,8.48,2.37
17120,5kr2,8.48,1.78
17121,5n0d,8.48,1.7
17122,5svk,8.48,2.77
17123,6b41,8.48,2.61
17124,6fe1,8.48,1.95
17125,6jsf,8.48,2.3
17126,1akt,8.49,1.8
17127,1ec0,8.49,1.79
17128,2g5u,8.49,1.8
17129,2ieo,8.49,1.53
17130,2ihq,8.49,2
17131,2oqi,8.49,2.8
17132,3gfe,8.49,2.1
17133,3pp1,8.49,2.7
17134,3s45,8.49,1.51
17135,3wyy,8.49,3.05
17136,4a22,8.49,1.9
17137,4ehe,8.49,3.3
17138,4hdf,8.49,1.29
17139,4m2r,8.49,1.99
17140,4mwu,8.49,1.8
17141,5fl1,8.49,1.95
17142,5nx2,8.49,3.7
17143,5t28,8.49,2.8
17144,5tkt,8.49,2.12
17145,5tr6,8.49,1.93
17146,5ufs,8.49,2.12
17147,5vzy,8.49,2.32
17148,5x33,8.49,3.7
17149,7upj,8.49,2
17150,3d3p,8.5,1.75
17151,3qd0,8.5,1.99
17152,5lxd,8.5,2.58
17153,1cr6,8.51,2.8
17154,1d8m,8.51,2.44
17155,1g05,8.51,2.45
17156,1qpl,8.51,2.9
17157,2rg5,8.51,2.4
17158,2vh0,8.51,1.7
17159,3i25,8.51,2.1
17160,3tia,8.51,1.8
17161,3u8j,8.51,2.35
17162,3uol,8.51,2.4
17163,3zpt,8.51,1.54
17164,4nk9,8.51,2.57
17165,5ij7,8.51,2.62
17166,5k4i,8.51,1.76
17167,5to8,8.51,1.98
17168,6b1o,8.51,1.91
17169,6oe1,8.51,1.45
17170,1b6p,8.52,2
17171,1d7x,8.52,2
17172,1fcy,8.52,1.3
17173,1hbj,8.52,2.5
17174,1i5r,8.52,1.6
17175,1jij,8.52,3.2
17176,1jk7,8.52,1.9
17177,1nfx,8.52,2.15
17178,1o44,8.52,1.7
17179,1oit,8.52,1.6
17180,1q6p,8.52,2.3
17181,1r78,8.52,2
17182,1rhu,8.52,2.51
17183,1rp7,8.52,2.09
17184,1sps,8.52,2.7
17185,1ta2,8.52,2.3
17186,1urw,8.52,1.6
17187,1w14,8.52,2.2
17188,1xkk,8.52,2.4
17189,2b1p,8.52,1.9
17190,2boh,8.52,2.2
17191,2bqw,8.52,2.95
17192,2bxt,8.52,1.83
17193,2fs9,8.52,2.3
17194,2fvd,8.52,1.85
17195,2gbi,8.52,3.3
17196,2hfp,8.52,2
17197,2oc2,8.52,2.25
17198,2ow3,8.52,2.8
17199,2q64,8.52,2.5
17200,2qmf,8.52,1.75
17201,2qu6,8.52,2.1
17202,2v11,8.52,3.1
17203,2vaq,8.52,3.01
17204,2vf6,8.52,2.1
17205,2vnm,8.52,1.79
17206,2vtp,8.52,2.15
17207,2vvc,8.52,1.95
17208,2vw5,8.52,1.9
17209,2w1g,8.52,2.71
17210,2wn9,8.52,1.75
17211,2wxp,8.52,2.3
17212,2xa4,8.52,2.04
17213,2xbj,8.52,2.3
17214,2xfk,8.52,1.8
17215,3cic,8.52,1.75
17216,3dcv,8.52,2.7
17217,3dya,8.52,2.3
17218,3h5u,8.52,1.95
17219,3hvh,8.52,1.3
17220,3hvk,8.52,1.3
17221,3i0r,8.52,2.98
17222,3ia6,8.52,2.31
17223,3jzo,8.52,1.8
17224,3k84,8.52,2.25
17225,3lpi,8.52,2.05
17226,3m2w,8.52,2.41
17227,3ml5,8.52,2.05
17228,3n23,8.52,4.6
17229,3ns9,8.52,1.78
17230,3ocg,8.52,2.21
17231,3pa4,8.52,1.59
17232,3psb,8.52,3.4
17233,3psd,8.52,3.6
17234,3sfc,8.52,2.1
17235,3spk,8.52,1.24
17236,3suu,8.52,1.6
17237,3sx4,8.52,2.6
17238,3t3v,8.52,2.04
17239,3tct,8.52,1.3
17240,3ttm,8.52,2
17241,3u4u,8.52,2.2
17242,3umw,8.52,2.08
17243,3zxh,8.52,1.3
17244,4bae,8.52,2.35
17245,4bcb,8.52,1.7
17246,4c4j,8.52,2.5
17247,4dtk,8.52,1.86
17248,4e1z,8.52,2.5
17249,4e3l,8.52,1.43
17250,4foc,8.52,1.7
17251,4gjd,8.52,2.65
17252,4gv1,8.52,1.49
17253,4h1e,8.52,1.9
17254,4h3i,8.52,1.96
17255,4h4m,8.52,2.85
17256,4hyi,8.52,1.4
17257,4izy,8.52,2.3
17258,4j52,8.52,2.3
17259,4jnc,8.52,1.96
17260,4jnm,8.52,2.2
17261,4l6s,8.52,2.2
17262,4lgg,8.52,2.41
17263,4nh8,8.52,1.65
17264,4o6w,8.52,1.45
17265,4o97,8.52,2.2
17266,4p1u,8.52,2.52
17267,4qmn,8.52,2.09
17268,4rpv,8.52,3.05
17269,4rx5,8.52,1.36
17270,4tlr,8.52,1.86
17271,4uwh,8.52,1.93
17272,4wcu,8.52,2.35
17273,4xoc,8.52,1.42
17274,4yne,8.52,2.02
17275,4yzc,8.52,2.49
17276,4zom,8.52,2.27
17277,5am1,8.52,2.15
17278,5anw,8.52,1.37
17279,5bqh,8.52,1.6
17280,5bue,8.52,2.4
17281,5eyc,8.52,1.8
17282,5eyk,8.52,1.93
17283,5fqc,8.52,1.45
17284,5hg8,8.52,1.42
17285,5i4v,8.52,2.61
17286,5izq,8.52,3.6
17287,5j79,8.52,2.69
17288,5jur,8.52,2.93
17289,5jyo,8.52,2.1
17290,5mjb,8.52,2.23
17291,5mpk,8.52,1.9
17292,5mw2,8.52,2.35
17293,5n70,8.52,1.81
17294,5vi6,8.52,1.24
17295,5vlr,8.52,2.8
17296,5wlv,8.52,1.4
17297,6b4h,8.52,2.17
17298,6c1s,8.52,2.31
17299,6ccy,8.52,2.18
17300,6csp,8.52,1.24
17301,6dvm,8.52,1.47
17302,6fyk,8.52,2.39
17303,6g9n,8.52,1.76
17304,6hgy,8.52,2.2
17305,6ny4,8.52,2.33
17306,6ocz,8.52,2.65
17307,6ow2,8.52,1.7
17308,6pl3,8.52,3
17309,6qae,8.52,2.49
17310,6qzh,8.52,2.1
17311,6rj6,8.52,1.98
17312,6rpg,8.52,2.7
17313,3jzc,8.53,2.5
17314,6kzd,8.53,1.71
17315,1r1i,8.54,2.6
17316,3hc8,8.54,1.79
17317,3kjd,8.54,1.95
17318,3q96,8.54,3.1
17319,4fcb,8.54,2.1
17320,4hwo,8.54,1.91
17321,4mbl,8.54,2.6
17322,4yay,8.54,2.9
17323,5mjn,8.54,1.17
17324,5sxm,8.54,2
17325,6e2o,8.54,2.39
17326,6i5y,8.54,1.9
17327,6kdz,8.54,3.1
17328,6rz6,8.54,2.43
17329,1hos,8.55,2.3
17330,1ibg,8.55,2.7
17331,1ppl,8.55,1.7
17332,2byr,8.55,2.45
17333,2zis,8.55,2.6
17334,3ejp,8.55,1.32
17335,3g6g,8.55,2.31
17336,3kfc,8.55,2.4
17337,3rwg,8.55,2.1
17338,3t8s,8.55,3.77
17339,3v51,8.55,1.95
17340,4ynd,8.55,2.79
17341,5amd,8.55,1.5
17342,5hzx,8.55,1.9
17343,5i9y,8.55,1.23
17344,5nhv,8.55,2
17345,5nxg,8.55,1.2
17346,5svl,8.55,2.9
17347,6c7e,8.55,1.43
17348,6hk4,8.55,2.5
17349,6o50,8.55,2.35
17350,3so9,8.56,2.87
17351,1bgq,8.57,2.5
17352,1q1g,8.57,2.02
17353,1yye,8.57,2.03
17354,2h8h,8.57,2.2
17355,2i0j,8.57,2.9
17356,2r5q,8.57,2.3
17357,2w6t,8.57,2.9
17358,2w78,8.57,3
17359,2x4z,8.57,2.1
17360,2yne,8.57,1.72
17361,3dkf,8.57,1.8
17362,3ejq,8.57,1.45
17363,3ejr,8.57,1.27
17364,3v7x,8.57,1.03
17365,3vrt,8.57,2.4
17366,4hy4,8.57,1.25
17367,4kmz,8.57,2.3
17368,4re3,8.57,2.55
17369,4tpk,8.57,2.7
17370,4uwl,8.57,2.8
17371,5caq,8.57,2.5
17372,5j6m,8.57,1.64
17373,6ikm,8.57,3.4
17374,6peb,8.57,2.46
17375,3r5t,8.58,1.45
17376,1akw,8.59,1.75
17377,1hkj,8.59,2.6
17378,1m7q,8.59,2.4
17379,2fky,8.59,2.3
17380,2gu8,8.59,2.2
17381,2iit,8.59,2.35
17382,2itz,8.59,2.72
17383,2wky,8.59,2.2
17384,3ibi,8.59,1.93
17385,4ezl,8.59,2.94
17386,4mx9,8.59,3.1
17387,4tpp,8.59,2.65
17388,5hk2,8.59,3.2
17389,5idn,8.59,2.26
17390,5nbw,8.59,2.4
17391,5u6d,8.59,1.64
17392,6dkg,8.59,2.53
17393,6h37,8.59,1.9
17394,6jmf,8.59,2
17395,6nvi,8.59,2.12
17396,1bwa,8.6,1.9
17397,1ikw,8.6,3
17398,1yy4,8.6,2.7
17399,2r5b,8.6,2
17400,3b66,8.6,1.65
17401,3bqn,8.6,1.8
17402,3fhe,8.6,2.16
17403,3k5g,8.6,2
17404,3m6f,8.6,1.85
17405,3oe0,8.6,2.9
17406,3s43,8.6,1.26
17407,3sxf,8.6,2.04
17408,3t3u,8.6,2.1
17409,4efs,8.6,1.63
17410,4f65,8.6,2.26
17411,4gj2,8.6,2.4
17412,4jg8,8.6,3.1
17413,4ke1,8.6,1.91
17414,4qf7,8.6,1.48
17415,4qjp,8.6,1.62
17416,4qlt,8.6,2.8
17417,5a3q,8.6,3.05
17418,5cf5,8.6,2.45
17419,5sz3,8.6,1.69
17420,5upf,8.6,1.69
17421,6ebw,8.6,2.46
17422,6prf,8.6,1.21
17423,4b00,8.61,1.83
17424,4ban,8.61,1.87
17425,6gl8,8.61,1.4
17426,1a61,8.62,2.2
17427,1azl,8.62,1.8
17428,2bbb,8.62,1.7
17429,2cej,8.62,2.5
17430,2h42,8.62,2.3
17431,3dt1,8.62,2.8
17432,3qqu,8.62,2.9
17433,3ryz,8.62,1.37
17434,4bf1,8.62,1.35
17435,4dru,8.62,2.1
17436,4fcf,8.62,1.09
17437,4hf4,8.62,2
17438,4jx9,8.62,1.4
17439,4nrl,8.62,2.72
17440,4tpm,8.62,2.77
17441,4zim,8.62,2.65
17442,5egm,8.62,1.84
17443,5htz,8.62,1.95
17444,5n9s,8.62,2.3
17445,5ubt,8.62,2.83
17446,5vio,8.62,2.84
17447,5ylu,8.62,2.8
17448,5zvw,8.62,2.29
17449,6euv,8.62,2.7
17450,6h7j,8.62,2.8
17451,6n3o,8.62,2.4
17452,6r7d,8.62,2.35
17453,3f17,8.63,1.1
17454,4ee0,8.63,1.75
17455,5of0,8.63,1.48
17456,1g45,8.64,1.83
17457,1mue,8.64,2
17458,1r1j,8.64,2.35
17459,1t31,8.64,1.9
17460,2qry,8.64,2.25
17461,2qt9,8.64,2.1
17462,3f88,8.64,2.6
17463,3hkw,8.64,1.55
17464,3s71,8.64,1.25
17465,3wig,8.64,2.7
17466,3zev,8.64,3
17467,4g9c,8.64,3.5
17468,4pft,8.64,1.75
17469,4qd6,8.64,2.45
17470,4x6x,8.64,1.8
17471,4ydn,8.64,1.35
17472,4zyf,8.64,1.8
17473,5e8f,8.64,2.1
17474,5hbe,8.64,2.38
17475,5hbj,8.64,3
17476,5jga,8.64,2
17477,5nhy,8.64,1.72
17478,5uwk,8.64,1.6
